AS31,"Tuesday, July 10, 1984, ",True,Candlestick Park, NL All-Stars, AL All-Stars,3,1,8,7,2,1, NL All-Stars
AS10,"Tuesday, July 12, 2005,  8:44PM",True,Comerica Park, AL All-Stars, NL All-Stars,7,5,11,11,2,1, AL All-Stars
AS71,"Tuesday, July 13, 1948, ",True,Sportsman's Park III, AL All-Stars, NL All-Stars,5,2,6,8,1,1, AL All-Stars
AS24,"Tuesday, July  9, 1991, ",True,SkyDome, AL All-Stars, NL All-Stars,4,2,8,10,1,1, AL All-Stars
AS0,"Tuesday, July 14, 2015,  7:00PM",True,Great American Ball Park, NL All-Stars, AL All-Stars,3,6,6,7,1,2, AL All-Stars
AS82,"Tuesday, July  7, 1936, ",True,Braves Field, NL All-Stars, AL All-Stars,4,3,9,7,1,1, NL All-Stars
AS56,"Tuesday, July 11, 1961, ",True,Candlestick Park, NL All-Stars, AL All-Stars,5,4,11,4,1,1, NL All-Stars
AS39,"Tuesday, July 13, 1976, ",True,Veterans Stadium, NL All-Stars, AL All-Stars,7,1,10,5,2,1, NL All-Stars
AS7,"Tuesday, July 15, 2008,  8:47PM",True,Yankee Stadium II, AL All-Stars, NL All-Stars,4,3,14,13,1,1, AL All-Stars
AS19,"Tuesday, July  9, 1996,  8:36PM",True,Veterans Stadium, NL All-Stars, AL All-Stars,6,0,12,7,2,0, NL All-Stars
AS69,"Tuesday, July 11, 1950, ",True,Comiskey Park I, AL All-Stars, NL All-Stars,3,4,8,10,0,2, NL All-Stars
AS74,"Tuesday, July 11, 1944, ",True,Forbes Field, NL All-Stars, AL All-Stars,7,1,12,6,0,0, NL All-Stars
AS2,"Tuesday, July 16, 2013,  8:19PM",True,Citi Field, NL All-Stars, AL All-Stars,0,3,3,9,0,0, AL All-Stars
AS68,"Tuesday, July 10, 1951, ",True,Briggs Stadium, AL All-Stars, NL All-Stars,3,8,10,12,2,4, NL All-Stars
AS36,"Tuesday, July 17, 1979, ",True,Kingdome, AL All-Stars, NL All-Stars,6,7,10,10,1,1, NL All-Stars
AS26,"Tuesday, July 11, 1989, ",True,Anaheim Stadium, AL All-Stars, NL All-Stars,5,3,12,9,2,0, AL All-Stars
AS35,"Tuesday, July  8, 1980, ",True,Dodger Stadium, NL All-Stars, AL All-Stars,4,2,7,7,1,1, NL All-Stars
AS55,"Monday, July 31, 1961, ",True,Fenway Park, AL All-Stars, NL All-Stars,1,1,4,5,1,0,tie
AS60,"Tuesday, July  7, 1959, ",True,Forbes Field, NL All-Stars, AL All-Stars,5,4,9,8,1,1, NL All-Stars
AS45,"Tuesday, July 14, 1970, ",True,Riverfront Stadium, NL All-Stars, AL All-Stars,5,4,10,12,1,0, NL All-Stars
AS70,"Tuesday, July 12, 1949, ",True,Ebbets Field, NL All-Stars, AL All-Stars,7,11,12,13,2,0, AL All-Stars
AS62,"Tuesday, July  9, 1957, ",True,Busch Stadium I, NL All-Stars, AL All-Stars,5,6,9,10,0,0, AL All-Stars
AS40,"Tuesday, July 15, 1975, ",True,County Stadium, AL All-Stars, NL All-Stars,3,6,10,13,1,2, NL All-Stars
AS29,"Tuesday, July 15, 1986, ",True,Astrodome, NL All-Stars, AL All-Stars,2,3,5,5,0,2, AL All-Stars
AS79,"Tuesday, July 11, 1939, ",True,Yankee Stadium I, AL All-Stars, NL All-Stars,3,1,6,7,1,0, AL All-Stars
AS85,"Thursday, July  6, 1933, ",True,Comiskey Park I, AL All-Stars, NL All-Stars,4,2,9,8,1,1, AL All-Stars
AS18,"Tuesday, July  8, 1997, ",True,Jacobs Field, AL All-Stars, NL All-Stars,3,1,7,3,2,1, AL All-Stars
AS15,"Tuesday, July 11, 2000,  8:45",True,Turner Field, NL All-Stars, AL All-Stars,3,6,9,10,1,0, AL All-Stars
AS63,"Tuesday, July 10, 1956, ",True,Griffith Stadium, AL All-Stars, NL All-Stars,3,7,11,11,2,2, NL All-Stars
AS32,"Wednesday, July  6, 1983, ",True,Comiskey Park I, AL All-Stars, NL All-Stars,13,3,15,8,2,0, AL All-Stars
AS21,"Tuesday, July 12, 1994, ",True,Three Rivers Stadium, NL All-Stars, AL All-Stars,8,7,12,15,2,0, NL All-Stars
AS6,"Tuesday, July 14, 2009,  7:50PM",True,Busch Stadium III, NL All-Stars, AL All-Stars,3,4,5,8,0,0, AL All-Stars
AS30,"Tuesday, July 16, 1985, ",True,Hubert H. Humphrey Metrodome, AL All-Stars, NL All-Stars,1,6,5,9,0,0, NL All-Stars
AS49,"Tuesday, July 12, 1966, ",True,Busch Stadium II, NL All-Stars, AL All-Stars,2,1,6,6,0,0, NL All-Stars
AS64,"Tuesday, July 12, 1955, ",True,County Stadium, NL All-Stars, AL All-Stars,6,5,13,10,1,1, NL All-Stars
AS44,"Tuesday, July 13, 1971, ",True,Tiger Stadium, AL All-Stars, NL All-Stars,6,4,7,5,3,3, AL All-Stars
AS23,"Tuesday, July 14, 1992, ",True,Jack Murphy Stadium, NL All-Stars, AL All-Stars,6,13,12,19,1,2, AL All-Stars
AS41,"Tuesday, July 23, 1974, ",True,Three Rivers Stadium, NL All-Stars, AL All-Stars,7,2,10,4,1,0, NL All-Stars
AS4,"Tuesday, July 12, 2011,  5:38PM",True,Chase Field, NL All-Stars, AL All-Stars,5,1,9,6,1,1, NL All-Stars
AS81,"Wednesday, July  7, 1937, ",True,Griffith Stadium, AL All-Stars, NL All-Stars,8,3,13,13,1,0, AL All-Stars
AS42,"Tuesday, July 24, 1973, ",True,Royals Stadium, AL All-Stars, NL All-Stars,1,7,5,10,0,3, NL All-Stars
AS75,"Tuesday, July 13, 1943, ",True,Shibe Park, AL All-Stars, NL All-Stars,5,3,8,10,1,1, AL All-Stars
AS34,"Sunday, August  9, 1981, ",True,Cleveland Stadium, AL All-Stars, NL All-Stars,4,5,11,9,1,4, NL All-Stars
AS48,"Tuesday, July 11, 1967,  4:15PM",True,Anaheim Stadium, AL All-Stars, NL All-Stars,1,2,8,9,1,2, NL All-Stars
AS80,"Wednesday, July  6, 1938, ",True,Crosley Field, NL All-Stars, AL All-Stars,4,1,8,7,0,0, NL All-Stars
AS59,"Monday, August  3, 1959,  4:00PM",True,Los Angeles Memorial Coliseum, NL All-Stars, AL All-Stars,3,5,6,6,2,3, AL All-Stars
