554,,,,,,,,,
581,,3.1|-0.8|1.7|1.5|2.7|0.8|-0.8|0.8|-0.1|0.1,4.21|7.09|4.73|4.04|2.96|3.10|4.33|3.73|3.71|4.67,198.2|80.0|182.2|200.2|270.2|273.0|79.0|159.1|106.2|115.2,25|11|21|27|35|33|10|19|11|6,4.18|4.66|4.66|4.01|3.65|3.52|4.01|3.46|3.98|4.76,0.03|2.43|0.07|0.03|-0.69|-0.42|0.32|0.27|-0.27|-0.09,0.084|0.09|0.069|0.06|0.049|0.062|0.033|0.055|0.034|0.044,0.103|0.093|0.1|0.087|0.058|0.07|0.092|0.086|0.103|0.071
582,,-1.4|-2.3,4.16|4.93,266.0|115.0,30|14,4.05|4.14,0.11|0.79,0.085|0.083,0.081|0.091
583,,,,,,,,,
584,,,,,,,,,
585,,,,,,,,,
586,,0.2|6.4|0.9|2.0|1.9|3.2|6.2|0.1|-0.6|1.1|2.0|-0.2|-0.6|-0.4|1.2|0.6|-0.4|-0.1|0.6,3.52|2.05|3.83|3.33|3.35|3.60|3.57|4.70|6.01|3.24|3.34|6.14|4.81|3.84|3.15|3.05|4.96|4.66|1.35,23.0|267.1|220.2|232.2|242.0|252.1|282.1|216.1|67.1|100.0|143.0|22.0|127.1|75.0|94.1|91.1|49.0|9.2|13.1,3|34|33|35|34|41|42|35|12|16|14|2|22|1|0|0|3|0|0,3.77|2.64|4.20|3.92|3.57|3.23|3.93|4.24|5.32|3.07|3.61|5.69|4.15|4.21|3.94|3.78|4.84|4.17|2.04,-0.25|-0.59|-0.37|-0.59|-0.22|0.37|-0.36|0.46|0.69|0.17|-0.27|0.45|0.66|-0.37|-0.79|-0.73|0.12|0.49|-0.69,0.178|0.151|0.136|0.119|0.111|0.146|0.099|0.106|0.099|0.116|0.139|0.21|0.106|0.139|0.183|0.125|0.135|0.1|0.188,0.078|0.064|0.094|0.077|0.073|0.068|0.096|0.115|0.128|0.088|0.073|0.13|0.069|0.098|0.108|0.086|0.115|0.16|0.062
587,,2.2|0.6,2.63|4.59,136.2|82.1,14|11,3.75|4.35,-1.12|0.24,0.076|0.069,0.09|0.119
588,,,,,,,,,
589,,-0.2,5.14,7.0,0,2.87,2.27,0.103,0.103
590,,-0.3|0.8|0.2|0.9|-0.9|0.4|-1.5|0.4|-0.5,4.95|4.64|4.90|4.28|6.37|4.18|7.45|2.86|6.47,112.2|120.1|145.0|113.2|35.1|51.2|38.2|22.0|40.1,10|17|21|11|0|0|0|0|0,4.26|5.33|5.00|3.58|6.63|4.04|6.09|4.38|4.08,0.69|-0.69|-0.1|0.7|-0.26|0.14|1.36|-1.52|2.39,0.12|0.118|0.086|0.099|0.092|0.187|0.125|0.154|0.16,0.086|0.085|0.075|0.061|0.116|0.1|0.14|0.11|0.059
